TIME  ns, IN1, IN2
305.664, 0.845476, 0.338559
304.688, 0.907155, 0.348299
303.711, 0.968835, 0.358039
302.734, 1.030514, 0.367779
301.758, 1.092193, 0.377519
300.781, 1.153872, 0.387259
299.805, 1.223306, 0.40479
298.828, 1.323762, 0.45349
297.852, 1.424217, 0.502189
296.875, 1.524673, 0.550889
295.898, 1.625128, 0.599588
294.922, 1.725583, 0.648288
293.945, 1.826039, 0.696987
292.969, 1.926494, 0.745687
291.992, 2.025641, 0.793686
291.016, 1.962309, 0.754726
290.039, 1.898978, 0.715767
289.063, 1.835647, 0.676807
288.086, 1.772316, 0.637847
287.109, 1.708984, 0.598888
286.133, 1.645653, 0.559928
285.156, 1.582322, 0.520968
284.18, 1.51899, 0.482009
283.203, 1.435596, 0.432452
282.227, 1.347677, 0.380506
281.25, 1.259758, 0.32856
280.273, 1.17184, 0.276614
279.297, 1.083921, 0.224668
278.32, 0.996002, 0.172721
277.344, 0.908083, 0.120775
276.367, 0.820165, 0.068829
275.391, 0.758564, 0.073607
274.414, 0.712823, 0.112567
273.438, 0.667082, 0.151527
272.461, 0.621341, 0.190486
271.484, 0.5756, 0.229446
270.508, 0.529859, 0.268405
269.531, 0.484118, 0.307365
268.555, 0.438377, 0.346325
267.578, 0.411318, 0.351624
266.602, 0.408824, 0.312664
265.625, 0.406329, 0.273705
264.648, 0.403835, 0.234745
263.672, 0.401341, 0.195785
262.695, 0.398846, 0.156826
261.719, 0.396352, 0.117866
260.742, 0.393857, 0.078907
259.766, 0.396424, 0.058647
258.789, 0.415019, 0.097606
257.813, 0.433613, 0.136566
256.836, 0.452208, 0.175526
255.859, 0.470802, 0.214485
254.883, 0.489396, 0.253445
253.906, 0.507991, 0.292405
252.93, 0.526585, 0.331364
251.953, 0.543575, 0.366584
250.977, 0.528739, 0.327625
250, 0.513902, 0.288665
249.023, 0.499065, 0.249706
248.047, 0.484229, 0.210746
247.07, 0.469392, 0.171786
246.094, 0.454555, 0.132827
245.117, 0.439719, 0.093867
244.141, 0.424882, 0.054907
243.164, 0.409907, 0.082646
242.188, 0.394908, 0.121606
241.211, 0.379909, 0.160565
240.234, 0.364911, 0.199525
239.258, 0.349912, 0.238484
238.281, 0.334913, 0.277444
237.305, 0.319915, 0.316404
236.328, 0.304916, 0.355363
235.352, 0.208267, 0.342585
234.375, 0.070298, 0.303626
233.398, -0.06767, 0.264666
232.422, -0.205638, 0.225706
231.445, -0.343606, 0.186747
230.469, -0.481575, 0.147787
229.492, -0.619543, 0.108828
228.516, -0.757511, 0.069868
227.539, -0.844274, 0.026311
226.562, -0.873753, -0.022388
225.586, -0.903232, -0.071088
224.609, -0.932711, -0.119787
223.633, -0.96219, -0.168487
222.656, -0.991669, -0.217186
221.68, -1.021148, -0.265886
220.703, -1.050627, -0.314585
219.727, -1.077657, -0.351468
218.75, -1.09839, -0.357961
217.773, -1.119122, -0.364454
216.797, -1.139855, -0.370947
215.82, -1.160587, -0.377441
214.844, -1.18132, -0.383934
213.867, -1.202052, -0.390427
212.891, -1.222785, -0.396921
211.914, -1.236155, -0.403128
210.938, -1.173212, -0.406375
209.961, -1.11027, -0.409621
208.984, -1.047327, -0.412868
208.008, -0.984385, -0.416115
