TIME μs, IN1
5, -1.853311
4.99, -1.950969
4.98, -2.092149
4.971, -1.207386
4.961, -0.529881
4.951, 0.59611
4.941, 0.094284
4.932, 1.322178
4.922, 1.986149
4.912, 2.143782
4.902, 1.359066
4.893, 1.024957
4.883, 0.790896
4.873, 0.752416
4.863, 0.377174
4.854, -1.511241
4.844, -2.072511
4.834, -2.156901
4.824, -1.927881
4.814, -1.473027
4.805, -1.4648
4.795, -1.513895
4.785, -0.745631
4.775, 1.251854
4.766, 1.553321
4.756, 1.973942
4.746, 1.701666
4.736, 0.975332
4.727, 1.687866
4.717, 1.770929
4.707, 0.93526
4.697, 0.539319
4.688, -0.392947
4.678, -0.042385
4.668, -1.108666
4.658, -1.582627
4.648, -2.083392
4.639, -1.121935
4.629, -0.704498
4.619, -0.555091
4.609, -0.551111
4.6, -0.31068
4.59, 1.095282
4.58, 1.45062
4.57, 1.817901
4.561, 1.238054
4.551, 0.912703
4.541, 0.921991
4.531, 1.006381
4.521, 0.413
4.512, -0.740324
4.502, -0.820202
4.492, -0.979958
4.482, -0.805606
4.473, -0.422138
4.463, -0.891854
4.453, -1.117423
4.443, -0.425853
4.434, -0.058573
4.424, 0.190084
4.414, -0.254951
4.404, 0.244752
4.395, 0.460768
4.385, 0.962063
4.375, 0.220337
4.365, -0.059104
4.355, -0.025136
4.346, 0.199903
4.336, 0.183981
4.326, -0.288123
4.316, -0.275916
4.307, -0.194976
4.297, 0.084199
4.287, 0.083138
4.277, 0.006975
4.268, -0.069188
4.258, 0.107022
4.248, 0.075707
4.238, -0.137655
4.229, -0.195772
4.219, -0.388701
4.209, -0.442837
4.199, -0.53678
4.189, -0.371186
4.18, -0.396927
4.17, -0.220187
4.16, -0.03867
4.15, 0.080484
4.141, 0.551261
4.131, 0.802572
4.121, 1.110939
4.111, 0.587618
4.102, 0.671211
4.092, 0.531889
4.082, 0.435557
4.072, 0.222195
4.063, -0.715379
4.053, -1.098051
4.043, -1.508853
4.033, -1.325478
4.023, -1.137592
4.014, -1.060367
4.004, -1.059837
3.994, -0.67743
3.984, -0.327399
3.975, 0.641489
3.965, 0.411408
3.955, 1.200105
3.945, 1.53156
3.936, 1.843377
3.926, 1.177018
3.916, 0.802838
3.906, 0.450949
3.896, 0.170977
3.887, 0.042801
3.877, -1.388372
3.867, -1.956807
3.857, -2.139386
3.848, -1.113443
3.838, -1.27373
3.828, -1.109993
3.818, -1.031176
3.809, -0.499893
3.799, 1.357208
3.789, 1.821881
3.779, 2.118837
3.77, 1.986945
3.76, 1.891145
3.75, 1.942097
3.74, 2.137679
3.73, 1.05176
3.721, 0.10596
3.711, -0.883362
3.701, 0.02847
3.691, -1.263911
3.682, -2.013863
3.672, -2.168312
3.662, -1.370326
3.652, -0.604717
3.643, -0.345444
3.633, -0.407808
3.623, -0.264505
3.613, 1.805959
3.604, 2.116714
3.594, 2.16342
3.584, 0.962859
3.574, 1.449293
3.564, 1.385338
3.555, 1.400995
3.545, 0.544361
3.535, -1.402702
3.525, -1.200751
3.516, -0.853109
3.506, -1.547863
3.496, -1.861537
3.486, -2.056589
3.477, -1.393149
3.467, -0.4025
3.457, 0.034839
3.447, 0.354352
3.438, 0.051027
3.428, 1.579328
3.418, 2.025159
3.408, 2.149886
3.398, 0.880327
3.389, 0.751355
3.379, 0.609113
3.369, 0.566388
3.359, 0.052354
3.35, -1.354138
3.34, -1.576258
3.33, -1.880114
3.32, -1.366346
3.311, -1.044179
3.301, -1.13308
3.291, -1.536186
3.281, -0.40595
3.271, 1.213374
3.262, 0.808145
3.252, 0.00379
3.242, 0.619197
3.232, 0.993378
3.223, 1.271226
3.213, 0.622117
3.203, -0.103156
3.193, -0.179584
3.184, 0.060581
3.174, 0.166201
3.164, -0.828694
3.154, -0.985
3.145, -1.080536
3.135, -0.116425
3.125, -0.170562
3.115, -0.269547
3.105, -0.34916
3.096, 0.023428
3.086, 0.456522
3.076, 0.272086
3.066, 0.201496
3.057, 0.057396
3.047, 0.153462
3.037, 0.100653
3.027, 0.164874
