TIME μs, IN1, IN2
-6.621, 0.089168, 0.0227
-6.641, 1.000469, 0.075893
-6.66, 0.394085, -0.26986
-6.68, 0.607712, 0.049297
-6.699, -0.22663, 0.049297
-6.719, -0.333046, 0.0227
-6.738, -0.363564, -0.030492
-6.758, -0.415843, -0.402842
-6.777, 0.121278, 0.0227
-6.797, -0.129502, 0.0227
-6.816, 0.05175, 0.0227
-6.836, -0.270682, 0.0227
-6.855, -0.204869, 0.0227
-6.875, -0.037417, 0.0227
-6.895, 0.180988, -0.030492
-6.914, 0.582767, 0.368454
-6.934, 0.598955, 0.049297
-6.953, 0.18258, 0.0227
-6.973, -0.416374, 0.0227
-6.992, -0.853979, -0.34965
-7.012, -1.324225, -0.402842
-7.031, -0.662377, -0.402842
-7.051, 0.14357, -0.34965
-7.07, 0.183376, 0.049297
-7.09, 1.844099, 0.448243
-7.109, 0.830894, 0.155683
-7.129, 1.256026, 0.395051
-7.148, -0.584887, 0.049297
-7.168, -1.401184, -0.748596
-7.188, -1.606585, -0.402842
-7.207, -1.852854, -0.828385
-7.227, 0.484578, -0.057089
-7.246, 0.640088, 0.368454
-7.266, 2.129644, 0.84719
-7.285, 1.835342, 0.820594
-7.305, 0.418765, 0.075893
-7.324, -0.365952, -0.26986
-7.344, -1.893191, -0.668807
-7.363, -2.023225, -1.147543
-7.383, -1.297157, -0.668807
-7.402, -0.260863, -0.136878
-7.422, 1.964314, 0.793997
-7.441, 1.572089, 0.341858
-7.461, 2.145036, 0.793997
-7.48, 0.00239, 0.10249
-7.5, -0.716249, -0.030492
-7.52, -0.179658, 0.288665
-7.539, -2.165201, -0.775193
-7.559, -0.891131, -0.110282
-7.578, -0.191866, -0.34965
-7.598, 0.322168, 0.049297
-7.617, 1.632594, 0.501436
-7.637, 1.593053, 0.501436
-7.656, 1.211177, 0.395051
-7.676, -0.688384, 0.049297
-7.695, -1.157303, -0.748596
-7.715, -1.799779, -0.429439
-7.734, -1.604462, -0.828385
-7.754, 0.251843, 0.0227
-7.773, 0.447691, 0.368454
-7.793, 1.648517, 0.501436
-7.813, 1.201889, 0.448243
-7.832, 0.639823, 0.075893
-7.852, -0.04697, 0.075893
-7.871, -1.593847, -0.34965
-7.891, -0.521728, -0.296457
-7.91, -1.296891, -0.722
-7.93, 0.3978, -0.057089
-7.949, 0.435218, 0.0227
-7.969, 0.650703, 0.341858
-7.988, 0.837263, 0.448243
-8.008, 0.015393, 0.049297
-8.027, 0.101375, 0.368454
-8.047, -0.055462, 0.049297
-8.066, -0.068466, 0.0227
-8.086, 0.028131, 0.0227
-8.105, -0.052012, 0.0227
-8.125, -0.052012, 0.0227
-8.145, -0.269886, -0.34965
-8.164, -0.403901, 0.0227
-8.184, -0.456711, -0.34965
-8.203, 0.1648, 0.0227
-8.223, 0.416111, 0.0227
-8.242, 0.902014, 0.448243
-8.262, 0.882376, 0.075893
-8.281, -0.021229, -0.323053
-8.301, -0.382405, -0.34965
-8.32, -1.170572, -0.402842
-8.34, -1.259473, -0.34965
-8.359, -0.938368, -0.402842
-8.379, 0.139324, -0.030492
-8.398, 1.44232, 0.0227
-8.418, 1.386591, 0.395051
-8.437, 1.94335, 0.448243
-8.457, -0.062362, 0.10249
-8.477, -0.957475, 0.0227
-8.496, -1.831093, -0.296457
-8.516, -2.164405, -0.748596
-8.535, -0.968621, -0.110282
-8.555, -1.071587, -1.067753
-8.574, 1.31202, 0.341858
-8.594, 0.981096, 0.155683
-8.613, 1.614283, 0.501436
-8.633, 0.968889, 0.501436
-8.652, -1.331656, -0.323053
-8.672, -1.315998, -1.067753
-8.691, -2.137337, -0.482632
-8.711, -1.630203, -0.828385
-8.73, 0.444506, -0.030492
-8.75, 1.054075, 0.687611
-8.77, 2.138666, 0.501436
-8.789, 1.763159, 0.873786
-8.809, 0.883703, 0.075893
-8.828, -0.528893, -0.26986
-8.848, -2.049498, -0.748596
-8.867, -1.463282, -0.668807
-8.887, -2.094346, -0.775193
-8.906, 0.677506, -0.057089
-8.926, 1.478942, 0.075893
-8.945, 1.851264, 0.687611
-8.965, 2.149812, 0.448243
-8.984, -0.074304, 0.395051
-9.004, -0.542958, 0.341858
-9.023, -0.462549, 0.288665
-9.043, -1.672929, -0.402842
-9.063, -0.873882, -0.110282
-9.082, -0.747298, -0.668807
-9.102, 0.827709, 0.049297
-9.121, 0.489885, 0.075893
-9.141, 0.887684, 0.075893
-9.16, 0.458836, 0.448243
-9.18, -0.58303, -0.323053
-9.199, -0.436277, -0.34965
-9.219, -0.842833, -0.030492
-9.238, -0.449015, -0.030492
-9.258, -0.085981, 0.0227
-9.277, 0.088106, -0.030492
-9.297, 0.384, 0.448243
-9.316, -0.077223, 0.049297
-9.336, 0.215752, 0.368454
-9.355, -0.203542, 0.0227
-9.375, 0.036623, 0.0227
-9.395, 0.180988, 0.0227
-9.414, 0.184703, 0.0227
-9.434, 0.045381, 0.049297
-9.453, -0.442911, 0.0227
-9.473, -0.567638, -0.34965
-9.492, -0.746767, -0.030492
-9.512, -0.488025, -0.030492
-9.531, -0.183374, -0.34965
-9.551, 0.703778, 0.0227
-9.57, 0.670606, 0.075893
-9.59, 0.866719, 0.075893
-9.609, 0.392758, 0.075893
-9.629, -0.913158, -0.34965
-9.648, -0.678831, 0.288665
-9.668, -1.530422, -0.429439
-9.688, -1.185964, -0.402842
-9.707, 0.627616, 0.0227
-9.727, 1.067078, 0.368454
-9.746, 1.856306, 0.448243
-9.766, 1.522994, 0.448243
-9.785, 0.423807, 0.0227
-9.805, -0.649374, 0.075893
-9.824, -2.07577, -1.174139
-9.844, -1.455055, -0.668807
-9.863, -1.848608, -0.775193
-9.883, 0.854777, -0.057089
-9.902, 1.986606, 0.448243
-9.922, 1.971214, 0.767401
-9.941, 2.167327, 0.793997
-9.961, -0.227161, 0.10249
-9.98, 0.495724, 0.687611
