TIME μs, IN1, IN2
6.113, 0.014597, 0.0227
6.094, 1.034702, 0.075893
6.074, 0.439995, 0.075893
6.055, 0.967827, 0.395051
6.035, -0.146486, -0.26986
6.016, 0.121809, 0.341858
5.996, -0.467591, 0.049297
5.977, -0.554635, -0.402842
5.957, 0.083595, -0.030492
5.938, -0.143302, 0.0227
5.918, 0.184438, 0.0227
5.898, -0.169043, 0.0227
5.879, -0.04299, 0.0227
5.859, -0.080938, 0.0227
5.84, 0.21071, 0.0227
5.82, 0.468655, 0.341858
5.801, 0.539245, 0.049297
5.781, 0.264581, 0.075893
5.762, -0.20885, 0.0227
5.742, -0.727129, -0.34965
5.723, -1.218605, -0.402842
5.703, -0.523055, -0.34965
5.684, -0.09978, -0.030492
5.664, 0.069795, -0.34965
5.645, 1.685404, 0.448243
5.625, 0.798252, 0.155683
5.605, 1.3367, 0.448243
5.586, -0.332249, 0.049297
5.566, -0.423804, 0.262068
5.547, -1.591193, -0.402842
5.527, -1.104759, -0.456035
5.508, 0.161085, 0.315261
5.488, 0.342602, 0.395051
5.469, 2.111598, 0.84719
5.449, 1.871167, 0.873786
5.43, 0.737747, 0.075893
5.41, -0.043255, 0.075893
5.391, -2.103369, -0.402842
5.371, -2.018714, -1.120946
5.352, -1.612689, -0.110282
5.332, -0.568434, -0.136878
5.313, 1.917874, 0.448243
5.293, 1.505479, 0.341858
5.273, 2.154058, 0.793997
5.254, 0.2882, 0.47484
5.234, -0.255821, 0.341858
5.215, -1.844893, -0.668807
5.195, -2.164405, -0.828385
5.176, -0.887416, -0.668807
5.156, -0.613283, -0.722
5.137, 0.173557, -0.34965
5.117, 1.387918, 0.075893
5.098, 1.746971, 0.501436
5.078, 1.326881, 0.47484
5.059, -0.42805, -0.323053
5.039, -0.335699, 0.288665
5.02, -1.959004, -0.801789
5, -0.909177, -0.110282
4.98, -0.063424, 0.341858
4.961, 0.252639, 0.395051
4.941, 1.692039, 0.421647
4.922, 1.321043, 0.793997
4.902, 0.881846, 0.448243
4.883, 0.116501, 0.155683
4.863, -1.031781, -0.748596
4.844, -0.609037, -0.34965
4.824, -1.569698, -0.722
4.805, 0.302265, 0.0227
4.785, 0.32031, 0.075893
4.766, 0.777288, 0.687611
4.746, 0.996488, 0.049297
4.727, -0.024944, 0.0227
4.707, 0.171965, 0.368454
4.688, -0.467326, 0.075893
4.668, -0.182047, 0.0227
4.648, -0.032375, 0.0227
4.629, -0.129502, 0.0227
4.609, 0.027335, 0.0227
4.59, -0.222118, 0.0227
4.57, -0.329861, 0.0227
4.551, -0.255025, -0.030492
4.531, 0.0276, 0.0227
4.512, 0.21416, 0.075893
4.492, 0.779676, 0.368454
4.473, 0.857696, 0.075893
4.453, 0.129505, 0.0227
4.434, -0.182577, -0.34965
4.414, -0.999935, -0.402842
4.395, -1.19021, -0.722
4.375, -0.946064, -0.402842
4.355, -0.041663, -0.057089
4.336, 0.995957, 0.448243
4.316, 1.359788, 0.341858
4.297, 1.999875, 0.84719
4.277, 0.195583, 0.075893
4.258, -0.558084, 0.0227
4.238, -1.72282, -0.668807
4.219, -2.158832, -0.828385
4.199, -0.751013, -0.722
4.18, -1.330329, -1.067753
4.16, 1.053279, 0.341858
4.141, 0.834874, 0.155683
4.121, 1.759975, 0.501436
4.102, 1.083001, 0.47484
4.082, -0.965171, -0.323053
4.063, -0.473429, 0.634419
4.043, -2.133622, -0.854982
4.023, -0.882374, -0.110282
4.004, 0.076164, -0.030492
3.984, 0.752342, 0.687611
3.965, 2.091695, 0.501436
3.945, 1.866656, 0.793997
3.926, 1.225242, 0.075893
3.906, -0.320573, 0.129086
3.887, -1.722289, -0.748596
3.867, -1.642676, -0.668807
3.848, -1.73715, -0.456035
3.828, 0.358259, -0.057089
3.809, 1.125461, 0.075893
3.789, 1.914954, 0.714208
3.77, 2.166265, 0.793997
3.75, 0.281565, 0.395051
3.73, -0.239102, 0.395051
3.711, -1.66656, -0.296457
3.691, -1.601277, -0.030492
3.672, -0.926426, -0.34965
3.652, -0.860082, -0.34965
3.633, 0.703778, 0.0227
3.613, 0.446894, 0.155683
3.594, 1.088574, 0.501436
3.574, 0.534999, 0.075893
3.555, -0.453792, 0.0227
3.535, -0.114376, 0.341858
3.516, -0.987994, -0.402842
3.496, -0.592849, -0.030492
3.477, -0.197438, 0.0227
3.457, 0.062365, 0.341858
3.438, 0.485109, 0.075893
3.418, 0.001063, 0.0227
3.398, 0.260866, 0.075893
3.379, -0.269355, 0.0227
3.359, 0.152327, 0.0227
3.34, 0.061303, 0.075893
3.32, 0.077226, 0.0227
3.301, 0.122605, 0.0227
3.281, -0.326677, 0.0227
3.262, -0.428316, 0.0227
3.242, -0.613283, -0.030492
3.223, -0.340211, -0.030492
3.203, -0.222384, 0.0227
3.184, 1.004715, 0.075893
3.164, 0.576663, 0.075893
3.145, 0.918998, 0.448243
3.125, 0.442383, 0.075893
3.105, -0.647781, -0.34965
3.086, -0.590726, 0.288665
3.066, -1.534668, -0.402842
3.047, -0.683873, -0.030492
3.027, 0.342071, -0.030492
3.008, 0.522792, 0.075893
2.988, 1.750421, 0.448243
2.969, 1.577927, 0.448243
2.949, 0.719701, 0.075893
2.93, -0.440788, 0.075893
2.91, -1.897172, -1.120946
2.891, -1.559348, -0.668807
2.871, -1.609769, -0.456035
2.852, 0.534469, 0.315261
2.832, 1.604995, 0.075893
2.813, 1.952638, 0.767401
2.793, 2.166796, 0.873786
2.773, 0.151266, 0.395051
2.754, 0.877069, 0.687611
2.734, -2.095673, -0.748596
2.715, -1.177472, 0.182279
2.695, -1.841973, -0.722
2.676, -0.801965, -0.402842
2.656, 1.769794, 0.421647
2.637, 0.756854, 0.155683
2.617, 2.140259, 0.501436
2.598, 0.618858, 0.155683
2.578, -0.767466, -0.34965
2.559, -0.781531, 0.288665
2.539, -2.068339, -0.509228
2.52, -0.859021, -0.110282
2.5, -0.312081, 0.341858
2.48, 0.685998, 0.288665
2.461, 1.857899, 0.84719
2.441, 1.051686, 0.767401
2.422, 1.042664, 0.448243
2.402, -0.833279, 0.075893
2.383, -0.982951, -0.748596
2.363, -1.302199, -0.668807
2.344, -0.827706, -0.456035
2.324, 0.337825, -0.057089
2.305, -0.309958, -0.34965
2.285, 1.654886, 0.395051
2.266, 0.543491, 0.075893
2.246, 0.540572, 0.368454
2.227, 0.285546, 0.395051
2.207, -0.807007, -0.402842
2.188, -0.080673, 0.341858
2.168, -0.531812, -0.34965
2.148, -0.024944, -0.34965
2.129, 0.130301, 0.0227
2.109, -0.020167, -0.34965
2.09, 0.017251, 0.0227
2.07, -0.073508, 0.0227
2.051, 0.032112, 0.0227
2.031, 0.240963, 0.0227
2.012, 0.462817, 0.368454
1.992, 0.393023, 0.049297
1.973, 0.209914, 0.0227
1.953, -0.315531, 0.075893
1.934, -0.819214, -0.402842
1.914, -0.808599, -0.34965
1.895, -0.610894, -0.030492
1.875, 0.303591, 0.0227
1.855, 0.948986, 0.395051
1.836, 1.230815, 0.395051
1.816, 1.465407, 0.448243
1.797, -0.081735, 0.049297
1.777, 0.227694, 0.368454
1.758, -2.043659, -0.34965
1.738, -1.08061, -0.110282
1.719, -1.085121, -0.34965
1.699, -0.453792, -0.34965
1.68, 2.079753, 0.448243
1.66, 0.900422, 0.155683
1.641, 1.757056, 0.501436
1.621, 0.537122, 0.47484
1.602, -0.497313, -0.323053
1.582, -1.918402, -0.003896
1.562, -2.166263, -1.174139
1.543, -0.754463, -0.110282
1.523, -0.471572, -0.030492
1.504, 2.078957, 0.501436
1.484, 2.079488, 0.873786
1.465, 1.669216, 0.767401
1.445, 0.827709, 0.155683
1.426, -1.226832, -0.26986
1.406, -1.841708, -1.067753
1.387, -2.009691, -1.01456
1.367, -1.138462, -0.456035
1.348, 0.601874, -0.057089
1.328, 0.079614, -0.64221
1.309, 2.124071, 0.793997
1.289, 1.290259, 0.501436
1.27, 0.776226, 0.395051
1.25, 0.371793, 0.395051
1.23, -2.127253, -0.828385
1.211, -0.82346, -0.163475
1.191, -1.357131, -0.722
1.172, -0.273336, -0.34965
1.152, 1.206666, 0.421647
1.133, 0.717843, 0.129086
1.113, 1.473899, 0.448243
1.094, 0.184703, 0.075893
1.074, -0.292443, -0.722
1.055, -1.076098, -0.030492
1.035, -1.43011, -0.801789
1.016, -0.25821, -0.030492
996.094, -0.410535, -0.030492
976.563, 0.776491, -0.030492
957.031, 0.523057, 0.049297
937.5, 0.446098, 0.0227
917.969, 0.144897, 0.0227
898.437, -0.422743, -0.34965
878.906, -0.137729, 0.0227
859.375, -0.473429, 0.0227
839.844, 0.141447, 0.0227
820.312, -0.030517, -0.34965
800.781, -0.141179, 0.0227
781.25, -0.187354, 0.0227
761.719, -0.283686, -0.34965
742.187, -0.106945, 0.0227
722.656, -0.049093, 0.0227
703.125, 0.75075, 0.049297
683.594, 0.416642, 0.0227
664.062, 0.584359, 0.0227
644.531, 0.178865, 0.0227
625, -0.423273, -0.030492
605.469, -1.042396, -0.030492
585.937, -1.327409, -0.34965
566.406, -0.334107, -0.402842
546.875, -0.028925, -0.030492
527.344, 1.472307, 0.421647
507.812, 1.552982, 0.448243
488.281, 1.052217, 0.395051
468.75, 0.396473, -0.323053
449.219, -1.089102, -0.34965
429.687, -1.728923, -0.748596
410.156, -1.611627, -0.722
390.625, -0.992505, -0.456035
371.094, 1.087777, 0.0227
351.562, 1.236388, 0.288665
332.031, 2.129909, 0.793997
312.5, 1.232407, 0.554629
292.969, 0.499704, 0.049297
273.437, 0.244147, 0.368454
253.906, -2.161221, -0.456035
234.375, -1.019308, 0.208876
214.844, -1.316529, -0.775193
195.312, -0.127645, -0.34965
175.781, 0.917937, 0.075893
156.25, 2.033047, 0.501436
136.719, 2.168654, 0.873786
117.187, 0.141977, 0.075893
97.656, -0.355868, -0.34965
78.125, -2.10788, -0.801789
58.594, -2.02986, -1.174139
39.062, -0.709349, -0.110282
19.531, -0.122602, 0.288665
0, 1.961926, 0.421647
-19.531, 1.80615, 0.793997
-39.062, 1.465407, 0.767401
-58.594, 0.596566, 0.501436
-78.125, -1.586682, -0.323053
-97.656, -0.986401, -0.296457
-117.187, -2.0763, -1.067753
-136.719, -0.013002, -0.003896
-156.25, 0.045911, -0.34965
-175.781, -0.156305, -0.34965
-195.312, 1.931673, 0.448243
-214.844, 0.451671, 0.075893
-234.375, 0.584094, 0.395051
-253.906, -0.070854, -0.030492
-273.437, -1.044519, -0.030492
-292.969, -0.44928, -0.030492
-312.5, -0.899623, -0.722
-332.031, 0.161615, 0.0227
-351.562, 0.31341, 0.368454
-371.094, 0.39435, 0.0227
-390.625, 0.451671, 0.075893
-410.156, -0.131891, -0.34965
-429.687, 0.107479, 0.0227
-449.219, -0.152059, 0.049297
-468.75, 0.193726, 0.0227
-488.281, 0.033439, 0.0227
-507.812, 0.0414, 0.0227
-527.344, -0.13481, -0.34965
-546.875, -0.542427, 0.0227
-566.406, -0.603994, 0.0227
-585.937, -0.250514, 0.0227
-605.469, 0.294303, 0.0227
-625, 0.775961, 0.368454
-644.531, 1.263987, 0.448243
-664.062, 0.439464, 0.049297
-683.594, -0.019371, 0.0227
-703.125, -0.158163, 0.341858
-722.656, -1.792879, -0.748596
