TIME μs, IN1
50, 1.301744
49.902, 1.970227
49.805, 1.958285
49.707, 1.234074
49.609, 0.071461
49.512, -1.236842
49.414, -1.967422
49.316, -1.983345
49.219, -1.275587
49.121, -0.132878
49.023, 1.139334
48.926, 1.904944
48.828, 2.015075
48.73, 1.402057
48.633, 0.281904
48.535, -1.060367
48.438, -1.897098
48.34, -2.051812
48.242, -1.441447
48.145, -0.339606
48.047, 0.96339
47.949, 1.82082
47.852, 2.054882
47.754, 1.551729
47.656, 0.481202
47.559, -0.930068
47.461, -1.830488
47.363, -2.054731
47.266, -1.577054
47.168, -0.434345
47.07, 0.775504
46.973, 1.706443
46.875, 2.065231
46.777, 1.671148
46.68, 0.420431
46.582, -0.781192
46.484, -1.721153
46.387, -2.047301
46.289, -1.706558
46.191, -0.629131
46.094, 0.580983
45.996, 1.593923
45.898, 2.054616
45.801, 1.791894
45.703, 0.622647
45.605, -0.58216
45.508, -1.596161
45.41, -2.0611
45.313, -1.828631
45.215, -0.828959
45.117, 0.38089
45.02, 1.459643
44.922, 2.023567
44.824, 1.886633
44.727, 0.802572
44.629, -0.357917
44.531, -1.43269
44.434, -2.035624
44.336, -1.864987
44.238, -1.0126
44.141, 0.173366
44.043, 1.298825
43.945, 1.970227
43.848, 1.924582
43.75, 1.047514
43.652, -0.121732
43.555, -1.265238
43.457, -1.978303
43.359, -1.939027
43.262, -1.184298
43.164, -0.027524
43.066, 1.138804
42.969, 1.904679
42.871, 1.99013
42.773, 1.229828
42.676, 0.079423
42.578, -1.098581
42.48, -1.901344
42.383, -2.027928
42.285, -1.363957
42.188, -0.231863
42.09, 0.96339
41.992, 1.813655
41.895, 2.034978
41.797, 1.425675
41.699, 0.303931
41.602, -0.91786
41.504, -1.864722
41.406, -2.051812
41.309, -1.509118
41.211, -0.438591
41.113, 0.775769
41.016, 1.761376
40.918, 2.06072
40.82, 1.567917
40.723, 0.491286
40.625, -0.73077
40.527, -1.761225
40.43, -2.037747
40.332, -1.638356
40.234, -0.637889
40.137, 0.576737
40.039, 1.653633
39.941, 2.059658
39.844, 1.689724
39.746, 0.680765
39.648, -0.534127
39.551, -1.645256
39.453, -2.054466
39.355, -1.77131
39.258, -0.829225
39.16, 0.383013
39.063, 1.528641
38.965, 2.043736
38.867, 1.793221
38.77, 0.871039
38.672, -0.439653
38.574, -1.507791
38.477, -2.054731
38.379, -1.869499
38.281, -1.013661
38.184, 0.277658
38.086, 1.378969
37.988, 1.999683
37.891, 1.894329
37.793, 1.063967
37.695, -0.23664
37.598, -1.357058
37.5, -2.009352
37.402, -1.934781
37.305, -1.184032
37.207, 0.081811
37.109, 1.223724
37.012, 1.942893
36.914, 1.971819
36.816, 1.241239
36.719, -0.028585
36.621, -1.194117
36.523, -1.951234
36.426, -2.025009
36.328, -1.361569
36.23, -0.12704
36.133, 1.052822
36.035, 1.864076
35.938, 2.030467
35.84, 1.310502
35.742, 0.171243
35.645, -1.016846
35.547, -1.865253
35.449, -2.052874
35.352, -1.443039
35.254, -0.334564
35.156, 0.868651
35.059, 1.764825
34.961, 2.066558
34.863, 1.469197
34.766, 0.378501
34.668, -0.83294
34.57, -1.766267
34.473, -2.038543
34.375, -1.570685
34.277, -0.533331
34.18, 0.677049
34.082, 1.653368
33.984, 2.056739
33.887, 1.5987
33.789, 0.573287
33.691, -0.641339
33.594, -1.645787
33.496, -2.054731
33.398, -1.706027
33.301, -0.732097
33.203, 0.481202
33.105, 1.523599
33.008, 2.039755
32.91, 1.730327
32.813, 0.776035
32.715, -0.436734
32.617, -1.496911
32.52, -2.056589
32.422, -1.825181
32.324, -0.922372
32.227, 0.274739
32.129, 1.381888
32.031, 2.020383
31.934, 1.84205
31.836, 0.974005
31.738, -0.22921
31.641, -1.353608
31.543, -2.039605
31.445, -1.900017
31.348, -1.103093
31.25, 0.073584
31.152, 1.227174
31.055, 2.013748
30.957, 1.937851
30.859, 1.156053
30.762, -0.02832
30.664, -1.190136
30.566, -1.979099
30.469, -1.981753
30.371, -1.276649
30.273, -0.13394
30.176, 1.17861
30.078, 1.949527
29.98, 2.007379
29.883, 1.325894
29.785, 0.179735
29.688, -1.109993
29.59, -1.905855
29.492, -2.050485
29.395, -1.44012
29.297, -0.334564
29.199, 1.113858
29.102, 1.90919
29.004, 2.051166
28.906, 1.481935
28.809, 0.379297
28.711, -0.930598
28.613, -1.818016
28.516, -2.044381
28.418, -1.57042
28.32, -0.529881
28.223, 0.954367
28.125, 1.77889
28.027, 2.055412
27.93, 1.603212
27.832, 0.578329
27.734, -0.735016
27.637, -1.705496
27.539, -2.047035
27.441, -1.706292
27.344, -0.635235
27.246, 0.766481
27.148, 1.674863
27.051, 2.057801
26.953, 1.725815
26.855, 0.678111
26.758, -0.542619
26.66, -1.576524
26.563, -2.060304
26.465, -1.82465
26.367, -0.83294
26.27, 0.491286
26.172, 1.512453
26.074, 2.021975
25.977, 1.836742
25.879, 0.873958
25.781, -0.334564
25.684, -1.431363
25.586, -2.035624
25.488, -1.899752
25.391, -1.020561
25.293, 0.221929
25.195, 1.339959
25.098, 1.985618
25, 1.922724
24.902, 1.067683
24.805, -0.131286
24.707, -1.276914
24.609, -1.979364
24.512, -1.939027
24.414, -1.188013
24.316, 0.022101
24.219, 1.184979
24.121, 1.929624
24.023, 1.967838
23.926, 1.241504
23.828, 0.078892
23.73, -1.096989
23.633, -1.901344
23.535, -2.028193
23.438, -1.357323
23.34, -0.206122
23.242, 1.037165
23.145, 1.87018
23.047, 2.019056
22.949, 1.401791
22.852, 0.281639
22.754, -0.925556
22.656, -1.814035
22.559, -2.052343
22.461, -1.506199
22.363, -0.328195
22.266, 0.886696
22.168, 1.826127
22.07, 2.051962
21.973, 1.547217
21.875, 0.480936
21.777, -0.733955
21.68, -1.764675
21.582, -2.036685
21.484, -1.630926
21.387, -0.530942
21.289, 0.687664
21.191, 1.718915
21.094, 2.062312
20.996, 1.671148
20.898, 0.678907
20.801, -0.538638
20.703, -1.645787
20.605, -2.057916
20.508, -1.775025
20.41, -0.704233
20.313, 0.501901
20.215, 1.59127
20.117, 2.047451
20.02, 1.788444
19.922, 0.867324
19.824, -0.341994
19.727, -1.49983
19.629, -2.05022
19.531, -1.865253
19.434, -0.895834
19.336, 0.385932
19.238, 1.449824
19.141, 2.022506
19.043, 1.886633
18.945, 1.059987
18.848, -0.235313
18.75, -1.358384
18.652, -2.010413
18.555, -1.935312
18.457, -1.066736
18.359, 0.170977
18.262, 1.291129
18.164, 1.969961
18.066, 1.957223
17.969, 1.238054
17.871, -0.034954
17.773, -1.194648
17.676, -1.946723
17.578, -2.027663
17.48, -1.276914
17.383, -0.034954
17.285, 1.135354
17.188, 1.908394
17.09, 2.015606
16.992, 1.401791
16.895, 0.179735
16.797, -1.011538
16.699, -1.860741
16.602, -2.047831
16.504, -1.373246
16.406, -0.242479
16.309, 0.95994
16.211, 1.81737
16.113, 2.054616
16.016, 1.485119
15.918, 0.384074
15.82, -0.828163
15.723, -1.76096
15.625, -2.040401
15.527, -1.505668
15.43, -0.434345
15.332, 0.772319
15.234, 1.710689
15.137, 2.061516
15.039, 1.610907
14.941, 0.58231
14.844, -0.635235
14.746, -1.640745
14.648, -2.057385
14.551, -1.634376
14.453, -0.629397
14.355, 0.584698
14.258, 1.59472
14.16, 2.055147
14.062, 1.729796
13.965, 0.773912
13.867, -0.439387
13.77, -1.506995
13.672, -2.059242
13.574, -1.778209
13.477, -0.835859
13.379, 0.376909
13.281, 1.453274
13.184, 2.041878
13.086, 1.932809
12.988, 1.673536
12.891, 0.708364
12.793, -0.524308
12.695, -1.751141
12.598, -2.073573
12.5, -1.720092
12.402, -0.738201
12.305, 0.483325
12.207, 1.598966
12.109, 2.052493
12.012, 1.790036
11.914, 0.872631
11.816, -0.336422
11.719, -1.65136
11.621, -2.081534
11.523, -1.832081
11.426, -0.924495
11.328, 0.276066
11.23, 1.458051
11.133, 2.024894
11.035, 1.884775
10.938, 1.058129
10.84, -0.238232
10.742, -1.51018
10.645, -2.0542
10.547, -1.903732
10.449, -1.093805
10.352, 0.177877
10.254, 1.303337
10.156, 1.967838
10.059, 1.962796
9.961, 1.23832
9.863, -0.034424
9.766, -1.294429
9.668, -1.973526
9.57, -1.969811
9.473, -1.267891
9.375, -0.026197
9.277, 1.136415
9.18, 1.90574
9.082, 2.016137
8.984, 1.399403
8.887, 0.173366
8.789, -1.120342
8.691, -1.900282
8.594, -2.038543
