TIME μs, IN1
3.77, 1.963072
3.75, 1.601365
3.73, -0.076607
3.711, -1.150319
3.691, -1.95255
3.672, -1.813759
3.652, -0.725186
3.633, -0.908296
3.613, 2.059669
3.594, 1.039829
3.574, 2.095761
3.555, 0.899711
3.535, -1.624811
3.516, -0.592764
3.496, -2.123983
3.477, -0.690953
3.457, -0.112433
3.438, 1.412683
3.418, 1.956173
3.398, 0.936067
3.379, 0.98755
3.359, -1.316444
3.34, -0.987112
3.32, -1.189064
3.301, -0.728902
3.281, 0.471925
3.262, 0.632743
3.242, 1.109623
3.223, 0.51465
3.203, -0.041047
3.184, -0.280947
3.164, -0.976497
3.145, -0.214603
3.125, -0.400101
3.105, -0.189923
3.086, 0.15427
3.066, -0.16312
3.047, 0.032993
3.027, -0.136582
3.008, 0.300227
2.988, 0.17895
2.969, 0.44406
2.949, 0.337645
2.93, 0.064042
2.91, -0.597806
2.891, -0.972782
2.871, -0.728371
2.852, -0.604971
2.832, 0.392843
2.813, 1.04726
2.793, 1.214181
2.773, 0.991
2.754, -0.213011
2.734, -0.833725
2.715, -2.056312
2.695, -1.020019
2.676, -0.915461
2.656, -0.382586
2.637, 2.098945
2.617, 0.936598
2.598, 1.766694
2.578, 0.466883
2.559, -1.806063
2.539, -1.022142
2.52, -2.168036
2.5, -0.650616
2.48, 0.219818
2.461, 1.845776
2.441, 2.164493
2.422, 1.089189
2.402, 0.967647
2.383, -2.031898
2.363, -1.80049
2.344, -1.877449
2.324, -1.080525
2.305, 0.925187
2.285, 1.284241
2.266, 2.126279
2.246, 0.827794
2.227, 0.53588
2.207, -1.403487
2.188, -2.142029
2.168, -1.142092
2.148, -1.199944
2.129, -0.190719
2.109, 1.575358
2.09, 0.717663
2.07, 1.265664
2.051, 0.336848
2.031, -0.073688
2.012, -1.067256
1.992, -1.246916
1.973, -0.272455
1.953, -0.199742
1.934, 0.816117
1.914, 0.580198
1.895, 0.376389
1.875, 0.117117
1.855, -0.2974
1.836, -0.161528
1.816, -0.229199
1.797, 0.04865
1.777, 0.118709
1.758, -0.17347
1.738, -0.203722
1.719, -0.379932
1.699, -0.106595
1.68, 0.291469
1.66, 0.787722
1.641, 0.486786
1.621, 0.510935
1.602, 0.160373
1.582, -0.409389
1.562, -1.105205
1.543, -0.865836
1.523, -0.261309
1.504, 0.069349
1.484, 1.541655
1.465, 1.618614
1.445, 0.811075
1.426, 0.280058
1.406, -1.648429
1.387, -1.817209
1.367, -1.382257
1.348, -0.759951
1.328, 0.913511
1.309, 1.545371
1.289, 2.132117
1.27, 0.885381
1.25, 0.082884
1.23, -1.629057
1.211, -2.159544
1.191, -1.262307
1.172, -1.001974
1.152, -0.164712
1.133, 2.143528
1.113, 1.135895
1.094, 2.137159
1.074, -0.006548
1.055, 0.014417
1.035, -1.93132
1.016, -1.297868
996.094, -0.167631
976.563, -0.22681
957.031, 2.107702
937.5, 1.748383
917.969, 1.136957
898.437, 0.365774
878.906, -1.050272
859.375, -1.229401
839.844, -1.644979
820.312, -0.203192
800.781, 0.434507
781.25, 1.145449
761.719, 1.864353
742.187, 0.360732
722.656, 0.331541
703.125, -0.942529
683.594, -1.125639
664.062, -0.361887
644.531, -0.43168
625, -0.068911
605.469, 0.189299
585.937, 0.314557
566.406, 0.222471
546.875, -0.066788
527.344, 0.095356
507.812, 0.010701
488.281, 0.159047
468.75, 0.099868
449.219, -0.022736
429.687, -0.457687
410.156, -0.656719
390.625, -0.508639
371.094, -0.29395
351.562, 0.536942
332.031, 0.740751
312.5, 1.377122
292.969, 0.313761
273.437, -0.161793
253.906, -1.14793
234.375, -1.90319
214.844, -0.790469
195.312, -0.420004
175.781, 1.242311
156.25, 1.116523
136.719, 1.585973
117.187, 1.158187
97.656, -0.275905
78.125, -0.461668
58.594, -2.101426
39.062, -1.146338
19.531, -0.208234
0, 0.205487
-19.531, 2.12734
-39.062, 2.10956
-58.594, 1.427809
-78.125, 0.397885
-97.656, -1.720346
-117.187, -1.434802
-136.719, -2.166974
-156.25, 0.17205
-175.781, 0.812402
-195.312, 1.87656
-214.844, 2.165289
-234.375, 0.689533
-253.906, 0.292265
-273.437, -1.884614
-292.969, -2.162993
-312.5, -1.219316
-332.031, -1.732819
-351.562, 0.694575
-371.094, 0.394435
-390.625, 1.573501
-410.156, 0.964993
-429.687, -0.420269
-449.219, -0.008936
-468.75, -1.784037
-488.281, -0.491125
-507.812, -0.333226
-527.344, 0.150554
-546.875, 0.931291
-566.406, 0.756408
-585.937, 0.693514
-605.469, -0.123314
-625, -0.401693
-644.531, -0.480244
-664.062, -0.468302
-683.594, 0.107033
-703.125, 0.006986
-722.656, 0.25007
-742.187, 0.140205
-761.719, -0.093857
-781.25, 0.071207
-800.781, 0.103848
-820.312, 0.243171
-839.844, 0.415134
-859.375, 0.220614
-878.906, -0.147994
-898.437, -0.347026
-917.969, -0.894231
-937.5, -0.534381
-957.031, 0.015478
-976.563, 0.253786
-996.094, 1.334662
-1.016, 1.318474
-1.035, 0.693514
-1.055, 0.02397
-1.074, -1.452847
-1.094, -1.208171
-1.113, -1.657187
-1.133, 0.178419
-1.152, 0.830979
-1.172, 1.831711
-1.191, 2.164227
-1.211, 0.438487
-1.23, -0.23371
-1.25, -1.909294
-1.27, -1.946447
-1.289, -1.494511
-1.309, -1.134396
-1.328, 1.999694
-1.348, 0.864151
-1.367, 2.107968
-1.387, 1.063182
-1.406, -0.593029
-1.426, -0.501474
-1.445, -2.134067
-1.465, -0.998258
-1.484, -0.679542
-1.504, 0.316149
-1.523, 2.153082
-1.543, 1.332274
-1.562, 1.656298
-1.582, -0.693341
-1.602, -1.033819
-1.621, -1.806594
-1.641, -1.329978
-1.66, 0.172315
-1.68, 0.502178
-1.699, 1.777044
-1.719, 1.888236
-1.738, 0.474579
-1.758, 0.927575
-1.777, -1.768379
-1.797, -0.466445
-1.816, -1.320425
-1.836, -0.525358
-1.855, 0.620535
-1.875, 0.048915
-1.895, 0.873969
-1.914, 0.112606
-1.934, -0.0713
-1.953, -0.096245
-1.973, -0.348352
-1.992, -0.029105
-2.012, -0.071831
-2.031, 0.041485
-2.051, -0.15224
-2.07, -0.302973
-2.09, -0.247244
-2.109, -0.08908
-2.129, 0.421238
-2.148, 0.581525
-2.168, 0.812668
-2.188, 0.147105
-2.207, 0.234148
-2.227, -1.321486
-2.246, -0.702629
-2.266, -0.999585
