TIME  ns, IN1, IN2
552.466,0.387121,0.369193
550.527,0.3594,0.298287
548.589,0.33168,0.227381
546.65,0.303959,0.156475
544.712,0.276238,0.085569
542.773,0.250093,0.075403
540.835,0.224044,0.068957
538.896,0.197996,0.062511
536.958,0.171947,0.056065
535.02,0.148313,0.049619
533.081,0.125223,0.043173
531.143,0.102134,0.036727
529.204,0.079044,0.030281
527.266,0.057374,0.028285
525.327,0.036342,0.028285
523.389,0.015311,0.028285
521.45,-0.005721,0.028285
519.512,-0.029475,0.028285
517.573,-0.05533,0.028285
515.635,-0.081186,0.028285
513.696,-0.107042,0.028285
511.758,-0.133236,0.028285
509.819,-0.159863,0.028285
507.881,-0.18649,0.028285
505.942,-0.213118,0.028285
504.004,-0.240067,0.000115
502.065,-0.267723,-0.090129
500.127,-0.29538,-0.180374
498.188,-0.323036,-0.270618
496.25,-0.349891,-0.346465
494.312,-0.373238,-0.359357
492.373,-0.396585,-0.372249
490.435,-0.419932,-0.385141
488.496,-0.443195,-0.397258
486.558,-0.465127,-0.397258
484.619,-0.487059,-0.397258
482.681,-0.508991,-0.397258
480.742,-0.530924,-0.397258
478.804,-0.554238,-0.312965
476.865,-0.577649,-0.222721
474.927,-0.601061,-0.132476
472.988,-0.624472,-0.042232
471.05,-0.64804,-0.087411
469.111,-0.671644,-0.164763
467.173,-0.695249,-0.242115
465.234,-0.718853,-0.319467
463.296,-0.74373,-0.352858
461.357,-0.7692,-0.36575
459.419,-0.79467,-0.378642
457.48,-0.820139,-0.391534
455.542,-0.844751,-0.347085
453.604,-0.868677,-0.256841
451.665,-0.892603,-0.166597
449.727,-0.916529,-0.076353
447.788,-0.939239,-0.058165
445.85,-0.960335,-0.135517
443.911,-0.981431,-0.212869
441.973,-1.002527,-0.290221
440.034,-1.023486,-0.347983
438.096,-1.044132,-0.360875
436.157,-1.064778,-0.373767
434.219,-1.085424,-0.386659
432.28,-1.10591,-0.397258
430.342,-1.125655,-0.397258
428.403,-1.145401,-0.397258
426.465,-1.165146,-0.397258
424.526,-1.184975,-0.397258
422.588,-1.206329,-0.397258
420.649,-1.227682,-0.397258
418.711,-1.249035,-0.397258
416.772,-1.270389,-0.397258
414.834,-1.290373,-0.313709
412.896,-1.310247,-0.223464
410.957,-1.330121,-0.13322
409.019,-1.349995,-0.042976
407.08,-1.369663,-0.086774
405.142,-1.38928,-0.164126
403.203,-1.408897,-0.241478
401.265,-1.428514,-0.31883
399.326,-1.446354,-0.352752
397.388,-1.463334,-0.365644
395.449,-1.480314,-0.378536
393.511,-1.497293,-0.391428
391.572,-1.513533,-0.397258
389.634,-1.529163,-0.397258
387.695,-1.544792,-0.397258
385.757,-1.560421,-0.397258
383.818,-1.575996,-0.397258
381.88,-1.591496,-0.397258
379.941,-1.606997,-0.397258
378.003,-1.622497,-0.397258
376.064,-1.638245,-0.397258
374.126,-1.654582,-0.397258
372.187,-1.670918,-0.397258
370.249,-1.687255,-0.397258
368.311,-1.703624,-0.397258
366.372,-1.720154,-0.397258
364.434,-1.736684,-0.397258
362.495,-1.753213,-0.397258
360.557,-1.76951,-0.397258
358.618,-1.780701,-0.397258
356.68,-1.791893,-0.397258
354.741,-1.803084,-0.397258
352.803,-1.814275,-0.397258
350.864,-1.82647,-0.397258
348.926,-1.838754,-0.397258
346.987,-1.851039,-0.397258
345.049,-1.863324,-0.397258
343.11,-1.872146,-0.463588
341.172,-1.880057,-0.547387
339.233,-1.887968,-0.631185
337.295,-1.89588,-0.714983
335.356,-1.90516,-0.695823
333.418,-1.91513,-0.624917
331.479,-1.925099,-0.554011
329.541,-1.935068,-0.483104
327.603,-1.945176,-0.443496
325.664,-1.955402,-0.430604
323.726,-1.965629,-0.417712
321.787,-1.975855,-0.40482
319.849,-1.984726,-0.397258
317.91,-1.991672,-0.397258
315.972,-1.998618,-0.397258
314.033,-2.005564,-0.397258
312.095,-2.012289,-0.423197
310.156,-2.018463,-0.513441
308.218,-2.024638,-0.603685
306.279,-2.030812,-0.693929
304.341,-2.036447,-0.771689
302.402,-2.039277,-0.784581
300.464,-2.042107,-0.797473
298.525,-2.044937,-0.810365
296.587,-2.047712,-0.822801
294.648,-2.048999,-0.822801
292.71,-2.050285,-0.822801
290.771,-2.051571,-0.822801
288.833,-2.052858,-0.822801
286.895,-2.052389,-0.822801
284.956,-2.051746,-0.822801
283.018,-2.051103,-0.822801
281.079,-2.05046,-0.822801
279.141,-2.04891,-0.752113
277.202,-2.047109,-0.661869
275.264,-2.045308,-0.571624
273.325,-2.043507,-0.48138
271.387,-2.042129,-0.501293
269.448,-2.040971,-0.578645
267.51,-2.039814,-0.655997
265.571,-2.038656,-0.733349
263.633,-2.038523,-0.776457
261.694,-2.039295,-0.789349
259.756,-2.040067,-0.802241
257.817,-2.040839,-0.815133
255.879,-2.042053,-0.786233
253.94,-2.043919,-0.695989
252.002,-2.045784,-0.605745
250.063,-2.047649,-0.515501
248.125,-2.048832,-0.446852
246.187,-2.048253,-0.43396
244.248,-2.047674,-0.421068
242.31,-2.047095,-0.408176
240.371,-2.045797,-0.411079
238.433,-2.040523,-0.501324
236.494,-2.035249,-0.591568
234.556,-2.029975,-0.681812
232.617,-2.024562,-0.76751
230.679,-2.014142,-0.690158
228.74,-2.003723,-0.612806
226.802,-1.993304,-0.535454
224.863,-1.982884,-0.458102
222.925,-1.971827,-0.438834
220.986,-1.9607,-0.425942
219.048,-1.949573,-0.41305
217.109,-1.938447,-0.400158
215.171,-1.927918,-0.397258
213.232,-1.917563,-0.397258
211.294,-1.907207,-0.397258
209.355,-1.896852,-0.397258
207.417,-1.88825,-0.45583
205.479,-1.880597,-0.546074
203.54,-1.872943,-0.636318
201.602,-1.865289,-0.726562
199.663,-1.856895,-0.729153
197.725,-1.847827,-0.651801
195.786,-1.838758,-0.574449
193.848,-1.829689,-0.497097
191.909,-1.819191,-0.481158
189.971,-1.80652,-0.55851
188.032,-1.793849,-0.635862
186.094,-1.781179,-0.713214
184.155,-1.767654,-0.748651
182.217,-1.751832,-0.671298
180.278,-1.73601,-0.593946
178.34,-1.720188,-0.516594
176.401,-1.7039,-0.448583
174.463,-1.684862,-0.435691
172.524,-1.665824,-0.422799
170.586,-1.646786,-0.409907
168.647,-1.627823,-0.398962
166.709,-1.612773,-0.489206
164.771,-1.597723,-0.57945
162.832,-1.582672,-0.669694
160.894,-1.567622,-0.759939
158.955,-1.552285,-0.700545
157.017,-1.536913,-0.623192
155.078,-1.521541,-0.54584
153.14,-1.506169,-0.468488
151.201,-1.491488,-0.445508
149.263,-1.477016,-0.439062
147.324,-1.462545,-0.432616
145.386,-1.448073,-0.42617
143.447,-1.430263,-0.423855
141.509,-1.410582,-0.423855
139.57,-1.390901,-0.423855
137.632,-1.37122,-0.423855
135.693,-1.350678,-0.423855
133.755,-1.329325,-0.423855
131.816,-1.307971,-0.423855
129.878,-1.286618,-0.423855
127.939,-1.264889,-0.423855
126.001,-1.242571,-0.423855
124.063,-1.220253,-0.423855
122.124,-1.197935,-0.423855
120.186,-1.175752,-0.401841
118.247,-1.153948,-0.318043
116.309,-1.132145,-0.234245
114.37,-1.110341,-0.150447
112.432,-1.08881,-0.075458
110.493,-1.069,-0.05612
108.555,-1.04919,-0.036782
106.616,-1.02938,-0.017444
104.678,-1.009573,0.000728
102.739,-0.990021,-0.089516
100.801,-0.970468,-0.17976
98.862,-0.950916,-0.270004
96.924,-0.931363,-0.360248
94.985,-0.909478,-0.302236
93.047,-0.887288,-0.224883
91.108,-0.865099,-0.147531
89.17,-0.842909,-0.070179
87.231,-0.817744,-0.041725
85.293,-0.791631,-0.028833
83.354,-0.765518,-0.015941
81.416,-0.739405,-0.003049
79.478,-0.714065,0.001688
77.539,-0.689174,0.001688
75.601,-0.664283,0.001688
